HITId,AssignmentId,WorkerId,source,target,gizaAlignments,sureAlignments,possAlignments,sourceHighlights,targetHighlights
368IUKXGA587Q73OAA4AEX5P4BFP6Y,3KOPY89HM82ETXA1MX6TYI3GVLS3J9,A2ZRJMJTE6ID97,"'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said lead director H. Carl McCall in a statement .","'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said Carl McCall , the lead director of the NYSE board .",30-32 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-26 23-27 25-22 26-23,0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-26 23-27 25-22 26-23 30-32,{},24 27 28 29,24 25 28 29 30 31
36AZSFEYZ40Q13HFSDUHV5GZ40QVB9,3U84XHCDICDPB8Y94XEYWHJCSKJ4Z0,A34QZDSTKZ3JO9,some Boston managers are concerned that banning smoking will create safety hazards as groups of smokers huddle outside bars and nightclubs .,some Boston bar managers said they worry that banning smoking will create a hazard as groups of smokers huddle outside on sidewalks and in parking lots to smoke .,21-28 11-13 12-14 13-15 14-16 15-17 16-18 17-19 5-7 6-8 7-9 8-10 9-11 0-0 1-1 2-3 4-6 18-2,0-0 1-1 2-3 4-6 5-7 6-8 7-9 8-10 9-11 11-13 12-14 13-15 14-16 15-17 16-18 17-19 21-28,{},3 10 18 19 20,2 4 12 20 21 22 23 24 25 26 27
36AZSFEYZ40Q13HFSDUHV5GZ40RBVQ,3LEP4MGT3G06T6EMRUZOD36FETGDB4,A1EQ2HDHF2WWSY,"'' we 're a quiet , peaceful town of 862 people and nothing ever happens '' , said Carolyn Greene Bennett , Cedar Grove 's town recorder .","'' we 're a quiet , peaceful town of 862 people and nothing ever happens '' , Bennett said .",27-19 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 20-17 18-17 19-17 17-18,unchanged,unchanged,22 23 24 25 26,{}
36AZSFEYZ40Q13HFSDUHV5GZ40RVBA,3V26SBZTBDE5E5MYPQ4OQDWLTE5ZZO,A2ZRJMJTE6ID97,"After the meeting , Maclaren hosted a banquet in honor of Zou Jiahua and his retinue .","After the talk , Mclaren invited the delegation to dinner .",16-10 0-0 1-1 4-4 7-9 3-3,0-0 1-1 2-2 3-3 4-4 7-9 16-10,{},5 6 8 9 10 11 12 13 14 15,5 6 7 8
36BTXXLZ2V8ENXFP4EFKMULQ92X4RK,37ZHEEHM6WML929ZLOHWVSY74QN37X,A34QZDSTKZ3JO9,All the Punjabi speaking people around me pronounce `` Ghanta '' .,The Punjabi-speaking in my circle pronounce it as Ghinta .,11-9 2-1 3-1 7-5 1-0,1-0 2-1 3-1 4-1 7-5 11-9,5-2 5-3 5-4 6-2 6-3 6-4 9-6 9-7 9-8,0 8 10,{}
36D1BWBEHN1DN3NAVS0F7GUIJ12M2I,3BDCF01OGXUL4QVPE3BW4RCL8BPLYW,A1EQ2HDHF2WWSY,"'' the message is : if an individual is thinking of getting a flu shot , they should n't wait .","'' the message to the public is : if you are thinking of getting a flu shot , do n't wait any longer '' , he said .",20-27 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 0-0 1-1 2-2 3-6 4-7 5-8 18-19 19-20,0-0 1-1 2-2 3-6 4-7 5-8 8-10 9-11 10-12 11-13 12-14 13-15 14-16 15-17 19-20 20-27,6-9 7-9 16-9 17-18 17-19 18-18 18-19,{},3 4 5 21 22 25 26
36D1BWBEHN1DN3NAVS0F7GUIJ132MZ,3IRIK4HM3AKQI2RDV7N5IH25FSP6C8,A1I6P3XTSPFEK5,These remarks are seen to prevent Chen Shui-bian from taking extremist actions .,This declaration of attitude is interpreted by the outsiders as a check and prevention of Chen Shui-bian from being possessed by the Devil .,12-23 6-15 7-16 8-17 5-13 3-11,0-0 1-1 1-2 1-3 2-4 3-5 5-13 6-15 7-16 8-17 12-23,9-18 9-19 9-20 9-21 9-22 10-18 10-19 10-20 10-21 10-22 11-18 11-19 11-20 11-21 11-22,{},6 7 8
36FFXPMST9O52WB4RTIZMOPP3KZHOA,3MYYFCXHJ37PKR34E5Q9BA36HTS4GC,A34QZDSTKZ3JO9,"'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said lead director H. Carl McCall in a statement .","'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said Carl McCall , the lead director of the NYSE board .",30-32 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-26 23-27 25-22 26-23,unchanged,unchanged,24,28 29 30 31
36FQTHX3Z3R6PUFW83OBCAOGDGY3BL,3EICBYG644W26X6KFQHURL7A1Y9JCR,A2HNL20X0Q9BP0,These experts would be more active in diagnosing and treating contagious diseases .,These specialists will be ready to learn and understand the causes of infectious diseases and then bring them to an end .,12-21 11-13 10-12 1-1 0-0,0-0 1-1 3-3 8-14 10-12 11-13 12-21,2-2 4-4 5-4 6-5 7-6 7-7 7-8 7-9 7-10 7-11 8-15 9-16 9-17 9-18 9-19 9-20,unchanged,unchanged
36FQTHX3Z3R6PUFW83OBCAOGDGYB3T,3TUI152ZZBNZ5H0ZUJCJ7Q05BWBQ10,A4H1NYJVE7C53,"Gregory Parseghian , a former investment banker , was appointed chief executive .",Greg Parseghian was appointed the new chief executive .,12-8 10-6 11-7 8-2 9-3 1-1,0-0 1-1 8-2 9-3 10-6 11-7 12-8,{},unchanged,unchanged
36FQTHX3Z3R6PUFW83OBCAOGDGZ3BM,3PS7W85Z8Z2UM2VMF0L7R1TBTGI9TS,A1EQ2HDHF2WWSY,Bao En had been to the scene for a spot coverage of the destroyed dug-out . About 400 civilians lost their lives .,Bonne once visited this destroyed bomb shelter on-site and found about 400 civilians died .,22-14 16-10 17-11 18-12 13-4 9-9,0-0 1-0 12-3 13-4 14-5 14-6 14-7 16-10 17-11 18-12 19-13 20-13 21-13 22-14,2-1 2-2 3-1 3-2 4-1 4-2,5 6 7 8 9 10 11,8 9
36GJS3V78VQD1PPWRA8CTSW2PQCGJR,3PIWWX1FJJ6PEBCQPIYGEPK5RI2JJP,A34QZDSTKZ3JO9,Mr. Rowland attended a party in South Windsor for the families of Connecticut National Guard soldiers called to active duty .,Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,20-23 10-10 11-11 12-12 13-13 14-14 15-15 4-8 3-6 1-0 19-18 8-9 17-17,0-0 1-0 2-2 2-3 2-4 3-6 4-8 8-9 10-10 11-11 12-12 13-13 14-14 15-15 17-17 19-18 20-23,16-16,5 6 7 9 18,1 5 7 19 20 21 22
36GJS3V78VQD1PPWRA8CTSW2PQCJGU,3C8HJ7UOP7U5FYNFA1EUIB0CE9PMZU,A1EQ2HDHF2WWSY,seven of the nine Democratic presidential candidates were also scheduled to address the forum .,seven of nine Democratic candidates for president also said they would participate in the conference Monday .,14-16 0-0 1-1 3-2 4-3 6-4 5-6 8-7,0-0 1-1 2-2 3-2 4-3 4-4 4-5 4-6 5-3 5-4 5-5 5-6 6-3 6-4 6-5 6-6 7-7 7-8 7-9 7-10 7-11 7-12 8-7 8-8 8-9 8-10 8-11 8-12 9-7 9-8 9-9 9-10 9-11 9-12 10-7 10-8 10-9 10-10 10-11 10-12 11-7 11-8 11-9 11-10 11-11 11-12 12-13 13-14 14-16,{},{},15
36KM3FWE3RCN6QD9CZUC5A4DREN071,3WMOAN2SRBXUOW35L54RAKCGVPVNVZ,A4H1NYJVE7C53,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,14-15 7-10 8-11 9-12 13-14 1-8 0-6 4-5 6-13,0-6 1-8 7-10 8-11 9-12 13-14 14-15,4-4 4-5 5-4 5-5 10-13 11-13 12-13,unchanged,unchanged
36KM3FWE3RCN6QD9CZUC5A4DREN708,3N1FSUEFL50M87TDCFP15P0941J4D9,A2ZRJMJTE6ID97,So far their whereabouts is still unclear .,At the present time nobody know where they are .,7-9,0-0 0-1 0-2 1-0 1-1 1-2 7-9,6-4 6-5,2 3 4 5,3 6 7 8
36KM3FWE3RCN6QD9CZUC5A4DREO072,3JNQLM5FT4MV352ILI41VNBGTWL2LN,A34QZDSTKZ3JO9,There are numerous such works that are within the reach of every person .,There are a lot of activities which can be carried out by anybody .,13-13 0-0 1-1 4-5 12-12,0-0 1-1 2-2 2-3 4-5 5-6 11-12 12-12 13-13,3-4 6-7 6-8 6-9 6-10 7-7 7-8 7-9 7-10 8-7 8-8 8-9 8-10 9-7 9-8 9-9 9-10 10-11,{},{}
36MUZ9VAE622EPTDBJWDQRGD7Q0EDU,3Y54SXRO1LLS6UJPDBGYNXGP609UTJ,A4H1NYJVE7C53,"From the technical point of view , South and North Korea are in the status of war .",They are still technically at war .,17-6 16-5 2-3,unchanged,unchanged,unchanged,unchanged
36QZ6V1589DP5A9HY967P8OGUH3SUI,378XPAWRUCDII7PGDU039P2MOGEIAR,A4H1NYJVE7C53,"God willing , everything will turn out alright . Praying for you , Shahida Ikram .","Allah willing , all will be fine . With best wishes , Shahidah Akram .",15-14 1-1 2-2 0-0 7-6 8-7,0-0 1-1 2-2 3-3 4-4 7-6 8-7 13-12 14-13 15-14,5-5 6-5,unchanged,unchanged
36QZ6V1589DP5A9HY967P8OGUH4SUJ,3X31TUMD7XMOEKKM2E4NQ41B1QAL1S,A4H1NYJVE7C53,"However , intense debates have been created during the course , and it is full of twists and turns .","But great controversy has been stirred up during this process , which has met with one snag after another .",19-19 4-3 5-4 3-2 9-9 7-7 10-10,3-2 4-3 5-4 7-7 8-8 9-9 10-10 19-19,{},0 1 2 6 11 12 13 14 15 16 17 18,11 12 13 14 15 16 17 18
36QZ6V1589DP5A9HY967P8OGUH4USL,39ASUFLU6X7IYFVNSL2Q8IFSX8NEXP,A4H1NYJVE7C53,This 25-floor steel reinforced concrete plaza is the highest building which was exploded by plastic explosive at fixed points .,"The reinforcing-bar building had 25 stores , and plastic timing explosives destroyed it .",19-13 9-2 7-0 15-10 14-8 1-4,unchanged,unchanged,2 3 4 5 6 8,1 3 5 6 7 9 11 12
36U4VBVNQODD4V94JK62ZYJK8FLRUU,3X31TUMD7XMOEKKM2E4NQ41B1QQ1LO,A2ZRJMJTE6ID97,"And also , it is OK to withdraw Gao Rao to play fullback .","In addition , Gao Yao can play center back as well .",13-11 8-3 11-6 1-1 5-10 2-2,1-1 2-2 5-10 8-3 11-6 13-11,9-4 12-7 12-8,unchanged,unchanged
36U4VBVNQODD4V94JK62ZYJK8FLURX,3KJYX6QCM9BY56CK67CZHDVZM5AVJN,A2ZRJMJTE6ID97,"However , she warned that the phenomenon of credit contraction still exists .",However She advised that loans will be harder for borrowers to obtain .,12-12 3-2 0-0 2-1 8-4 4-3,unchanged,unchanged,1 5 6 7 9 10 11,5 6 7 8 9 10 11
371DNNCG442SMDFJK6AS3L2DZ9PT8S,3ERMJ6L4DYSMVOH9R6MBRR7D4HEM76,A2ZRJMJTE6ID97,"In light of the forthcoming meeting , the policy made the arrests .",The police carried out the detentions to deter the gathering .,12-10 9-2 8-1 11-5 5-9 3-8 7-0 10-4,3-8 5-9 7-0 8-1 9-2 9-3 10-4 12-10,11-5,unchanged,unchanged
371DNNCG442SMDFJK6AS3L2DZ9Q8T8,3LRKMWOKB5HF8UJM0JVA32ME85Q2Z3,A34QZDSTKZ3JO9,Mr. Rowland attended a party in South Windsor for the families of Connecticut National Guard soldiers called to active duty .,Rowland was making an appearance at a holiday party for families of Connecticut National Guard soldiers assigned to duty in Iraq and Afghanistan .,20-23 10-10 11-11 12-12 13-13 14-14 15-15 4-8 3-6 1-0 19-18 8-9 17-17,1-0 2-1 2-2 2-3 2-4 2-5 3-6 4-8 8-9 9-10 10-10 11-11 12-12 13-13 14-14 15-15 17-17 19-18 20-23,16-16,0 18,7 19 20 21 22
371DNNCG442SMDFJK6AS3L2DZ9QT8T,3FFJ6VRIL1OMHURYLS3AKJQ9FV80IQ,A2ZRJMJTE6ID97,Many businesses in China participated in the exhibition . Majority of the presentations were on online games .,Large numbers of local enterprises participated in this year 's conference as exhibitors . Most of them are showing web surfing .,17-21 4-5 5-6 1-4 0-1 12-18 15-19,1-4 4-5 5-6 9-14 10-15 11-16 12-18 15-19 15-20 16-19 16-20 17-21,{},2 3 6 7 8 13 14,0 1 2 3 7 8 9 10 11 12 13 17
371Q3BEXDH96R93R4W5F603VWZISZ7,384PI804XS1BB8UUQ4XOOLWWOS8S06,A34QZDSTKZ3JO9,"He also emphasized that U.S. should carry out her own function . In addition , U.S. must treat Palestine and Israel equally .",He stressed as well that the US should give equal footing to the two sides and fulfill its own responsibilities .,22-20 2-1 0-0 1-3 10-19 9-18 4-6 21-9 5-7,0-0 1-2 1-3 2-1 3-4 4-6 5-7 6-8 7-8 9-18 10-19 15-6 22-20,8-17 16-7 16-8 16-9 16-10 17-7 17-8 17-9 17-10 18-7 18-8 18-9 18-10 19-7 19-8 19-9 19-10 20-7 20-8 20-9 20-10 21-7 21-8 21-9 21-10,11 12 13 14,5 11 12 13 14 15 16
371Q3BEXDH96R93R4W5F603VWZJSZ8,3FE2ERCCZX8Z1X6L08V5JHN3ZCCPOA,A2HNL20X0Q9BP0,This is an eternal blessing whose fruits will be enjoyed by the future generations .,It is a means of earning perpetual virtues and it has impacts till generations .,14-14 13-13 3-6,1-1 3-6 12-13 13-13 14-14,0-0 2-2 4-3 4-4 4-5 5-8 6-7 7-9 7-10 8-9 8-10 9-11 10-12 11-12,{},{}
371Q3BEXDH96R93R4W5F603VWZJZSF,3MMN5BL1WZ44U5GMPUJLEAVXZFTM32,A4H1NYJVE7C53,Even enemies are treated this way by the cruelest people .,Only extremely cruel mete out such treatment to their enemies .,10-10 1-9 3-6,1-9 3-6 8-1 8-2 10-10,{},unchanged,unchanged
371QPA24C2OABDVYLL1DOBF5L3JT18,3C5W7UE9CFQGA3N09JQ9LQK16B1MXB,AROEBUDI2L9G9,"three such vigilante-style attacks forced the hacker organizer , who identified himself only as '' Eleonora67 '' , to extend the contest until 6 p.m. EDT Sunday .","three such vigilante-style attacks forced the hacker organizer , who identified himself only as '' Eleonora[67] '' , to extend the contest until 3 p.m. Arizona time Sunday .",27-31 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 16-19 17-20 18-21 19-22 20-23 21-24 22-25 26-30 24-27,0-0 1-1 2-2 3-3 4-4 5-5 5-20 6-6 7-7 8-8 8-17 9-9 10-10 11-11 12-12 13-13 14-14 14-16 16-14 16-16 17-8 17-17 18-18 19-19 20-5 20-20 22-22 24-24 26-27 26-30 27-28 27-31,{},unchanged,unchanged
371QPA24C2OABDVYLL1DOBF5L3K1TH,3B837J3LDOWZB2ETKHG38HXJXI8SR5,A2ZRJMJTE6ID97,Amorin also asked U.S. to adopt reciprocal actions .,"Amorim , on the other hand , demanded that the United States take the reciprocal move .",8-16 5-12 7-15 6-14 0-0 2-7,0-0 2-7 3-10 3-11 5-12 6-14 7-15 8-16,{},unchanged,unchanged
371QPA24C2OABDVYLL1DOBF5L3KT19,35LDD5557A4AQ3OTA0BKVWCZA2MKMK,A1EQ2HDHF2WWSY,I have already given up those momentary actions such as making monetary or material donations .,I have already abandoned all behaviors like donating money and donating items .,15-12 0-0 1-1 2-2 11-8 14-10 13-11 3-7,0-0 1-1 2-2 8-6 9-6 12-9 15-12,3-3 4-3 5-4 5-5 6-4 6-5 7-4 7-5 10-7 10-8 11-7 11-8 13-10 13-11 14-10 14-11,unchanged,unchanged
372AGES0I455LZ3ZOPHPJ5IO2X1XRR,3IXQG4FA2TYUQG15FEUMR7NPN8XB9H,A1EQ2HDHF2WWSY,"The bilateral trade amount reached 7.27 billion USD , and increased 23 % compared with that of last year .",Bilateral trade grew 23 % year-on-year to US $ 7.27bn .,19-11 1-0 2-1 11-3 12-4 5-9 10-2 6-10 7-8 18-5,0-0 1-0 2-1 5-9 6-10 7-8 10-2 11-3 12-4 13-5 13-6 14-5 14-6 15-5 15-6 16-5 16-6 17-5 17-6 18-5 18-6 19-10 19-11,{},3 4,{}
372AGES0I455LZ3ZOPHPJ5IO2X2RXM,3JV9LGBJWTETOKDMXP5IP89BYKCOGQ,A1EQ2HDHF2WWSY,Both parties discussed the specific issues and arrived at a general consensus .,They discussed the aspects in detail and reached an extensive agreement .,12-11 2-1 3-2 7-7 5-3 11-10 9-8 4-5 6-6,2-1 3-2 6-6 7-7 8-7 9-8 12-11,0-0 1-0 4-3 4-4 4-5 5-3 5-4 5-5 10-9 10-10 11-9 11-10,unchanged,unchanged
372AGES0I455LZ3ZOPHPJ5IO2X2XRS,3TMFV4NEP8EM0EG65DK4EP5ZD3ZW8V,A2ZRJMJTE6ID97,"Dear listeners , let 's take a look at the situation in China .",Here is the news about China .,13-6 12-5,unchanged,unchanged,unchanged,unchanged
373L46LKP76I3BLFH1TRRKOVW7TJKX,358UUM7WRZ3DS4U1WEISDQ1NA4E7RG,A1I6P3XTSPFEK5,It may be noted that Britain has relentlessly backed Indian membership .,"Previously , Britain has continuously supported India 's membership in the council .",11-12 5-2 6-3 8-5 9-6 10-8,5-2 6-3 7-4 8-5 9-6 9-7 10-8 11-12,{},{},9 10 11
373L46LKP76I3BLFH1TRRKOVW7TKJY,3VELCLL3GKJ2ESAQG31PVRWR4US1F7,A2NV5CA59IXOAY,"the rioters shot one person in the shoulder and beat and stabbed others , police said .",on Tuesday night rioters shot one person in the shoulder and beat or stabbed others .,16-15 1-3 2-4 3-5 4-6 5-7 6-8 7-9 8-10 9-11 11-13 12-14,unchanged,unchanged,14 15,0 1 2
374UMBUHN5PUYG5W1IQX57YWP0ATCY,3ND9UOO81K2HFL0PZ2T8JUR5X3QWL9,A3OKWRLKLYVH4F,they used discarded skin from consenting patients who had undergone surgery and exposed it to UVA light at intensities similar to that of sunlight .,Sanders and colleagues at RAFT exposed skin samples removed from consenting patients during surgery to UVA light at intensities similar to that of sunlight .,24-24 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 4-9 5-10 6-11 3-6 10-13 12-5,3-6 4-9 5-10 6-11 10-13 12-5 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22 23-23 24-24,0-0 0-1 0-2 0-3 0-4 1-5 2-7 2-8 7-12 8-12 9-12 13-6,11,{}
374UMBUHN5PUYG5W1IQX57YWP0BTCZ,33FOTY3KEMLVBGQGP1BONLBO7IMC1V,A34QZDSTKZ3JO9,"American forces here organized the elections , which officials say are important steps toward establishing democracy in Iraq .","U.S. forces organized the elections , which officials said were a step toward establishing democracy in the nation .",18-18 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-11 13-12 14-13 15-14 16-15 1-1 0-0,0-0 1-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 12-11 13-12 14-13 15-14 16-15 17-16 17-17 18-18,{},2 11,{}
375VMB7D4JJEUUVZ72M4B6E5ZJ7ID7,3KOPY89HM82ETXA1MX6TYI3GVMD3JW,A2ZRJMJTE6ID97,"More than 1,000 policemen and a large number of plainclothesmen kept close eyes on suspects among the crowd .","More than 1,000 police officers , many in plain clothes , mixed themselves in crowds to watch for any suspicious persons .",18-21 0-0 1-1 2-2 3-4 6-6 17-14 14-19,0-0 1-1 2-2 3-3 3-4 6-6 7-6 9-7 9-8 10-16 11-16 12-16 13-16 14-19 17-14 17-20 18-21,{},4 5 8 15 16,5 9 10 11 12 13 15 17 18
375VSR8FVW9UQU3EP75AGQYZAX0RZJ,3NKQQ8O39Y5LP5NSRLGJITY33ELDUJ,A4H1NYJVE7C53,There are so many good deeds that are within everyone 's reach .,There are a lot of activities which can be carried out by anybody .,12-13 0-0 1-1 3-3 9-12,0-0 1-1 2-2 2-3 2-4 3-2 3-3 3-4 5-5 9-12 12-13,{},unchanged,unchanged
378G7J1SJLY1NVT4SE13IF5YE65WEK,3AMW0RGHOD2HJC69ZTVS4SNY91RNPB,A3OKWRLKLYVH4F,"Last week , the developer appointed Daiyuxiang Property Consulting Company as sales agent and launched 66 units in phase 4 .","Last week , the investors led by Dai Yuxiang Industrial Consultation Corporation began the fourth stage that included 66 apartments .",20-20 0-0 1-1 2-2 3-3 8-10 15-18 9-11 18-15 14-12,0-0 1-1 2-2 3-3 6-7 6-8 8-10 9-11 14-12 15-18 16-19 18-15 19-14 20-20,3-13 7-9 17-16 17-17,4 5 10 11 12 13,{}
379OL9DBSSEOH4XNZ435BYP3YHPY9B,3FTOP5WARFOIC5B43AOAWK59S9N0JQ,A4H1NYJVE7C53,"Alternatively , for instance , I have particularly strong faith .","And , perhaps , another example of the difference lies in my strong faith and profound convictions .",10-17 8-12 9-13 3-5,unchanged,unchanged,unchanged,unchanged
379OL9DBSSEOH4XNZ435BYP3YHQY9C,3F1567XTNW5HUM3UYWRCMWIO98J9QC,A4H1NYJVE7C53,The police carried out the detentions to deter the gathering .,The public security officers took the action because of the meeting .,10-11 2-4 1-3 9-10 8-9 0-0,0-0 1-1 1-2 1-3 2-4 2-5 2-6 3-4 3-5 3-6 8-9 9-10 10-11,{},unchanged,unchanged
37G6BXQPLQLW3YXIG52XQQNCQ5PQEB,3OB0CAO74HPJIUCZNIWYCZJERUDHYI,A34QZDSTKZ3JO9,"Other games include Althafra against Alshabab , Dubai against Alnasir , Alwasil against Alsharqa and Alahli against Aljazeera .","Also Al-Zafra will play Al-Shabab , Dubai with Al-Nasr , Al-Wasl with Sharjah , Al-Ahli with Al-Jazira .",18-17 6-5 7-6 5-4 15-14 1-3 8-7 16-15,3-1 4-2 4-3 5-4 6-5 7-6 8-7 9-8 10-9 11-10 12-11 15-14 16-15 17-16 18-17,13-12 14-13,0 1 2,0
37J05LC5AXJAP5F5PK74N7T5CYWJDK,3JNQLM5FT4MV352ILI41VNBGTWK2LM,A2ZRJMJTE6ID97,"he was sent to Larned State Hospital , where he was evaluated and treated .",he ordered him sent to the Larned State Security Hospital for continued evaluation and treatment .,14-15 2-3 3-4 5-7 6-9 4-6 11-12 13-14 12-13 0-2,0-0 2-3 3-4 4-6 5-7 6-9 11-12 12-13 13-14 14-15,{},unchanged,unchanged
37M4O367VJI5M06XDB2D5NXU3BT5M2,3HYA4D452RJ93DSMZ7130A6WW0FF2B,A1I6P3XTSPFEK5,"At present , there is no information about the two men .",So far their whereabouts is still unclear .,11-7,0-0 0-1 1-0 1-1 3-4 3-5 3-6 4-4 4-5 4-6 5-4 5-5 5-6 6-3 7-3 8-2 9-2 10-2 11-7,{},unchanged,unchanged
37M4O367VJI5M06XDB2D5NXU3BTM5J,3MMN5BL1WZ44U5GMPUJLEAVXZF5M3E,A2ZRJMJTE6ID97,He hopes this co-operative relation will develop continually and make significant achievements .,We hope that the cooperative relationship will continue to develop and pave the way for more great achievements .,12-18 11-17 1-1 4-5 3-4 10-16 7-7 6-9 8-10 5-6,unchanged,unchanged,unchanged,unchanged
37M4O367VJI5M06XDB2D5NXU3BU5M3,3SNVL38CI4SXHHC2XBH6S07NGOPKC9,A2ZRJMJTE6ID97,the rebels suspended peace talks with the government April 21 citing a lack of progress .,the Liberation Tigers of Tamil Eelam suspended peace talks April 21 citing a lack of progress .,15-16 8-9 9-10 10-11 11-12 12-13 13-14 14-15 2-6 3-7 4-8,unchanged,unchanged,0 1 5 6 7,0 1 2 3 4 5
37MQ8Z1JQEWDHKCOEVOQ1BHPSBGY2K,3KV0LJBBH2LWD71O0KKHW8YD5URRMV,A2ZRJMJTE6ID97,"'' we 're optimistic we can deliver the vaccine to these people in time to do good '' , said Dr. David Fleming of the Centers for Disease Control and Prevention .","'' we 're optimistic we can deliver the vaccine to these people in time to do good '' , said Dr. David Fleming , the CDC 's deputy director for Public Health and Science .",31-34 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-22,unchanged,unchanged,23 24 25 26 27 28 29 30,23 24 25 26 27 28 29 30 31 32 33
37MQ8Z1JQEWDHKCOEVOQ1BHPSBH2YP,31QNSG6A5RT7AZF5X5CSM96IKD478K,A2ZRJMJTE6ID97,It seems that I have never been idle either as far as I can remember .,My memories seem to indicate that earlier vacations also were not all spent in idleness .,15-15 1-2 7-14 8-8,unchanged,unchanged,0 2 3 4 5 6 9 10 11 12 13 14,0 1 3 4 5 6 7 9 10 11 12 13
37NXA7GVST62EC3RJQJB98C4GU4VLW,3SUWZRL0MYD5F0BRRYT0852804UE61,A4H1NYJVE7C53,"Seattle deputy police chief Clark Kimerer said the exercise here went well , with some aspects , including the communication system linking various agencies , working better than expected .","police deputy chief Clark Kimerer said the exercise went well , with some aspects , including the communication system between varying agencies , working better than expected .",29-27 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 19-17 20-18 23-21 24-22 25-23 26-24 27-25 28-26 3-2 4-3 5-4 6-5 7-6 8-7 22-20 1-1 2-0,unchanged,unchanged,0 9 21,19
37NXA7GVST62EC3RJQJB98C4GU5LVN,3ERET4BTVM9VJJ5ZLR7FQA6FA27K9B,A2ZRJMJTE6ID97,Various groups from the society have also lent him a helping hand .,He was offered help from all walks of life .,12-9 10-3,unchanged,unchanged,unchanged,unchanged
37NXA7GVST62EC3RJQJB98C4GU5VLX,3DI28L7YXAEA8EAULSHJD9BRSU31EH,A2ZRJMJTE6ID97,"'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said lead director H. Carl McCall in a statement .","'' the committee will define the role of the interim chairman and recommend an individual to fill that role '' , said Carl McCall , the lead director of the NYSE board .",30-32 0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-11 12-12 13-13 14-14 15-15 16-16 17-17 18-18 19-19 20-20 21-21 22-26 23-27 25-22 26-23,unchanged,unchanged,24 27 28 29,24 25 28 29 30 31
37OPIVELUU3G0SH3HADHLT5KE3UAH3,3YHH42UU5BFO7VZ46V0NCZI1WYIL03,A1EQ2HDHF2WWSY,the measures could be taken up by the full Senate as early as Friday .,Ratliff said he hopes to bring the two measures to the full Senate by Friday .,14-15 7-10 8-11 9-12 13-14 1-8 0-6 4-5 6-13,6-13 7-10 8-11 9-12 13-14 14-15,0-6 0-7 0-8 1-6 1-7 1-8 2-4 2-5 3-4 3-5 4-4 4-5 5-4 5-5,10 11 12,0 1 2 3
37PGLWGSJT6M8019ZJ8RFJ9VJS4IKK,3B4YI393V9WBCHE6Z6G8YR2FJK1SS3,A4H1NYJVE7C53,No one knows where they are now .,The whereabouts of either of them is unknown .,7-8,0-7 1-7 2-7 7-8,{},3 4 5 6,0 1 2 3 4 5 6
37PGLWGSJT6M8019ZJ8RFJ9VJS4KIM,3VJ40NV2QINXTPZSHP4PORO0OE3OTI,A4H1NYJVE7C53,activists say they fear the gathering is an attempt by corporate farming to push bio-engineered crops on starving countries .,"instead , they fear the conference is an attempt by corporate farming and biotech interests to push into new markets .",19-20 6-6 7-7 8-8 9-9 10-10 11-11 2-2 3-3 4-4 12-15 13-16,unchanged,unchanged,0 1,0 1 5 12 13 14 17 18 19
